,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives,epochs_neginf,epochs_pu
159,0.7933,0.4565,0.8702,0.3094,228,1856,34,509,RGCN,Cora,0.1,81,81,71,191
160,0.4043,0.4472,0.3023,0.8589,633,429,1461,104,RGCN,Cora,0.1,81,81,81,1
161,0.7724,0.5882,0.5972,0.5794,427,1602,288,310,RGCN,Cora,0.1,81,81,81,11
162,0.8013,0.5591,0.7405,0.4491,331,1774,116,406,RGCN,Cora,0.1,81,81,81,21
163,0.8047,0.6063,0.6979,0.536,395,1719,171,342,RGCN,Cora,0.1,81,81,81,31
164,0.812,0.5517,0.8329,0.4125,304,1829,61,433,RGCN,Cora,0.1,81,81,81,41
165,0.8188,0.6474,0.7129,0.5929,437,1714,176,300,RGCN,Cora,0.1,81,81,81,51
166,0.8329,0.6502,0.7876,0.5536,408,1780,110,329,RGCN,Cora,0.1,81,81,81,61
167,0.8405,0.6809,0.776,0.6065,447,1761,129,290,RGCN,Cora,0.1,81,81,81,71
168,0.8142,0.6331,0.7099,0.5712,421,1718,172,316,RGCN,Cora,0.1,81,81,81,81
169,0.7956,0.5343,0.7404,0.4179,308,1782,108,429,RGCN,Cora,0.1,81,81,81,91
170,0.8104,0.6187,0.71,0.5482,404,1725,165,333,RGCN,Cora,0.1,81,81,81,101
171,0.8222,0.6273,0.7616,0.5332,393,1767,123,344,RGCN,Cora,0.1,81,81,81,111
172,0.8078,0.5083,0.9,0.3541,261,1861,29,476,RGCN,Cora,0.1,81,81,81,121
173,0.8089,0.5164,0.8904,0.3636,268,1857,33,469,RGCN,Cora,0.1,81,81,81,131
174,0.7842,0.405,0.8935,0.2619,193,1867,23,544,RGCN,Cora,0.1,81,81,81,141
175,0.8207,0.5894,0.8244,0.4586,338,1818,72,399,RGCN,Cora,0.1,81,81,81,151
176,0.8337,0.6349,0.8261,0.5156,380,1810,80,357,RGCN,Cora,0.1,81,81,81,161
177,0.815,0.5846,0.7898,0.464,342,1799,91,395,RGCN,Cora,0.1,81,81,81,171
178,0.8116,0.5352,0.8689,0.3867,285,1847,43,452,RGCN,Cora,0.1,81,81,81,181
179,0.775,0.3583,0.8967,0.2239,165,1871,19,572,RGCN,Cora,0.1,81,81,81,191
180,0.4469,0.4304,0.3026,0.7449,549,625,1265,188,RGCN,Cora,0.1,81,81,91,1
181,0.8104,0.6662,0.6583,0.6744,497,1632,258,240,RGCN,Cora,0.1,81,81,91,11
182,0.7804,0.4349,0.7817,0.3012,222,1828,62,515,RGCN,Cora,0.1,81,81,91,21
183,0.7994,0.6388,0.6454,0.6323,466,1634,256,271,RGCN,Cora,0.1,81,81,91,31
184,0.8123,0.6181,0.7202,0.5414,399,1735,155,338,RGCN,Cora,0.1,81,81,91,41
185,0.8177,0.5689,0.8449,0.4288,316,1832,58,421,RGCN,Cora,0.1,81,81,91,51
186,0.8268,0.6224,0.8013,0.5088,375,1797,93,362,RGCN,Cora,0.1,81,81,91,61
187,0.8104,0.5677,0.788,0.4437,327,1802,88,410,RGCN,Cora,0.1,81,81,91,71
188,0.8428,0.6811,0.7903,0.5984,441,1773,117,296,RGCN,Cora,0.1,81,81,91,81
189,0.8032,0.5437,0.7778,0.4179,308,1802,88,429,RGCN,Cora,0.1,81,81,91,91
190,0.8051,0.5115,0.8617,0.3636,268,1847,43,469,RGCN,Cora,0.1,81,81,91,101
191,0.8329,0.6502,0.7876,0.5536,408,1780,110,329,RGCN,Cora,0.1,81,81,91,111
192,0.81,0.5384,0.8459,0.3948,291,1837,53,446,RGCN,Cora,0.1,81,81,91,121
193,0.8059,0.5234,0.8408,0.3799,280,1837,53,457,RGCN,Cora,0.1,81,81,91,131
194,0.7937,0.4686,0.8445,0.3243,239,1846,44,498,RGCN,Cora,0.1,81,81,91,141
195,0.8142,0.5564,0.843,0.4152,306,1833,57,431,RGCN,Cora,0.1,81,81,91,151
196,0.7925,0.4456,0.8902,0.2972,219,1863,27,518,RGCN,Cora,0.1,81,81,91,161
197,0.8024,0.5081,0.8428,0.3636,268,1840,50,469,RGCN,Cora,0.1,81,81,91,171
198,0.7929,0.4449,0.8971,0.2958,218,1865,25,519,RGCN,Cora,0.1,81,81,91,181
199,0.759,0.2631,0.9262,0.1533,113,1881,9,624,RGCN,Cora,0.1,81,81,91,191
200,0.6757,0.4959,0.4397,0.5685,419,1356,534,318,RGCN,Cora,0.1,81,81,101,1
201,0.7263,0.621,0.5078,0.7992,589,1319,571,148,RGCN,Cora,0.1,81,81,101,11
202,0.7998,0.6033,0.6791,0.5427,400,1701,189,337,RGCN,Cora,0.1,81,81,101,21
203,0.783,0.4732,0.742,0.3474,256,1801,89,481,RGCN,Cora,0.1,81,81,101,31
204,0.8325,0.6901,0.7174,0.6649,490,1697,193,247,RGCN,Cora,0.1,81,81,101,41
205,0.8317,0.6335,0.8145,0.5183,382,1803,87,355,RGCN,Cora,0.1,81,81,101,51
206,0.8135,0.5798,0.7879,0.4586,338,1799,91,399,RGCN,Cora,0.1,81,81,101,61
207,0.8245,0.6583,0.7255,0.6024,444,1722,168,293,RGCN,Cora,0.1,81,81,101,71
208,0.8066,0.5504,0.7913,0.422,311,1808,82,426,RGCN,Cora,0.1,81,81,101,81
209,0.7982,0.5111,0.7983,0.3758,277,1820,70,460,RGCN,Cora,0.1,81,81,101,91
210,0.7796,0.4086,0.8264,0.2714,200,1848,42,537,RGCN,Cora,0.1,81,81,101,101
211,0.8002,0.5143,0.8081,0.3772,278,1824,66,459,RGCN,Cora,0.1,81,81,101,111
212,0.8131,0.5449,0.8596,0.3989,294,1842,48,443,RGCN,Cora,0.1,81,81,101,121
213,0.8059,0.5198,0.8492,0.3745,276,1841,49,461,RGCN,Cora,0.1,81,81,101,131
